                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1863,                  1.474,                 1.1393,                0.54814,                0.37151,                 0.3749,                0.26389,                 1.2704,                 1.6759,                 1.2058,             0.00042066,             0.00042066,             0.00042066
                     53,                 1.1817,                 1.4493,                 1.1264,                0.42312,                0.39936,                0.37411,                0.26285,                 1.2331,                 1.6636,                 1.1868,             0.00041242,             0.00041242,             0.00041242
                     54,                 1.1884,                 1.4733,                 1.1446,                0.55012,                0.38684,                0.37671,                0.26752,                 1.2316,                 1.6225,                 1.1907,             0.00040417,             0.00040417,             0.00040417
                     55,                 1.1921,                 1.4319,                 1.1361,                0.54279,                0.37447,                0.36981,                0.26214,                 1.2417,                 1.6631,                 1.1911,             0.00039592,             0.00039592,             0.00039592
                     56,                 1.1655,                 1.4488,                 1.1313,                0.45009,                0.40075,                0.38049,                0.26895,                 1.2317,                 1.6366,                 1.1849,             0.00038768,             0.00038768,             0.00038768
                     57,                 1.1791,                 1.4499,                 1.1296,                0.54056,                0.39022,                0.37665,                0.26703,                 1.2308,                 1.6354,                 1.1811,             0.00037943,             0.00037943,             0.00037943
                     58,                 1.1742,                 1.4368,                 1.1256,                0.45447,                0.38292,                0.38043,                0.26611,                 1.2439,                 1.6333,                  1.193,             0.00037118,             0.00037118,             0.00037118
                     59,                 1.1719,                 1.4298,                 1.1242,                0.41099,                0.39553,                0.38546,                 0.2739,                 1.2329,                 1.6285,                 1.1931,             0.00036294,             0.00036294,             0.00036294
                     60,                 1.1738,                 1.4318,                 1.1253,                0.54375,                0.38206,                0.37538,                0.26522,                 1.2243,                 1.6372,                 1.1803,             0.00035469,             0.00035469,             0.00035469
                     61,                 1.1529,                 1.4166,                 1.1211,                0.40393,                 0.3967,                0.37911,                0.27235,                 1.2262,                 1.6289,                 1.1825,             0.00034644,             0.00034644,             0.00034644
                     62,                 1.1636,                 1.4089,                 1.1269,                0.44026,                0.40465,                0.38434,                0.27321,                 1.2267,                  1.632,                 1.1809,              0.0003382,              0.0003382,              0.0003382
                     63,                 1.1506,                  1.404,                 1.1208,                0.42406,                 0.3842,                0.38721,                0.27727,                 1.2081,                  1.629,                  1.179,             0.00032995,             0.00032995,             0.00032995
                     64,                 1.1538,                 1.3954,                 1.1187,                0.44059,                0.40965,                0.38496,                 0.2732,                 1.2261,                 1.6368,                 1.1849,              0.0003217,              0.0003217,              0.0003217
                     65,                 1.1581,                 1.4016,                 1.1143,                0.44786,                0.39241,                0.38151,                0.26903,                 1.2477,                 1.6577,                 1.1882,             0.00031346,             0.00031346,             0.00031346
                     66,                 1.1615,                 1.3855,                 1.1198,                0.47975,                0.38108,                0.38584,                0.27386,                 1.2311,                 1.6161,                 1.1874,             0.00030521,             0.00030521,             0.00030521
                     67,                 1.1543,                 1.3925,                 1.1217,                0.45372,                0.38469,                0.38871,                0.27549,                 1.2409,                 1.6314,                  1.188,             0.00029696,             0.00029696,             0.00029696
                     68,                 1.1378,                 1.3692,                  1.116,                0.51791,                0.38121,                0.38775,                0.27565,                 1.2068,                  1.617,                 1.1777,             0.00028872,             0.00028872,             0.00028872
                     69,                 1.1538,                 1.3835,                 1.1139,                0.47466,                 0.3926,                0.39057,                0.27539,                 1.2158,                 1.6148,                 1.1795,             0.00028047,             0.00028047,             0.00028047
                     70,                 1.1486,                 1.3833,                 1.1145,                0.46374,                0.38649,                0.38878,                0.27735,                 1.2123,                 1.6102,                 1.1783,             0.00027222,             0.00027222,             0.00027222
                     71,                 1.1506,                 1.3858,                 1.1167,                0.44853,                0.40331,                0.39648,                0.28318,                  1.227,                 1.6209,                 1.1809,             0.00026398,             0.00026398,             0.00026398
                     72,                 1.1347,                 1.3695,                 1.1115,                0.43536,                0.40967,                 0.3901,                0.27808,                 1.2171,                 1.6196,                 1.1827,             0.00025573,             0.00025573,             0.00025573
                     73,                 1.1299,                 1.3546,                 1.1062,                0.47605,                0.37457,                0.38749,                0.27663,                 1.2386,                 1.6362,                 1.1863,             0.00024748,             0.00024748,             0.00024748
                     74,                 1.1324,                 1.3486,                 1.1022,                0.45486,                0.38825,                0.39273,                0.28233,                 1.2034,                 1.5994,                 1.1728,             0.00023924,             0.00023924,             0.00023924
                     75,                 1.1236,                 1.3546,                 1.1033,                0.45192,                 0.4142,                0.39683,                0.28246,                 1.2086,                 1.6071,                 1.1732,             0.00023099,             0.00023099,             0.00023099
                     76,                 1.1288,                 1.3515,                 1.1089,                0.44644,                 0.4065,                0.39136,                0.27767,                 1.2139,                 1.6141,                 1.1786,             0.00022274,             0.00022274,             0.00022274
                     77,                 1.1215,                  1.332,                  1.101,                0.45228,                0.40398,                0.39649,                0.28133,                 1.2221,                 1.6273,                 1.1823,              0.0002145,              0.0002145,              0.0002145
                     78,                  1.113,                 1.3352,                 1.1007,                0.45021,                0.41954,                0.39868,                0.28132,                 1.2279,                 1.6195,                 1.1812,             0.00020625,             0.00020625,             0.00020625
                     79,                 1.1178,                 1.3248,                 1.1037,                0.44148,                0.41565,                0.39947,                 0.2867,                 1.2098,                 1.6071,                 1.1784,               0.000198,               0.000198,               0.000198
                     80,                 1.1152,                 1.3188,                 1.1007,                 0.4965,                0.37577,                0.39057,                 0.2793,                 1.2076,                 1.6287,                 1.1777,             0.00018976,             0.00018976,             0.00018976
                     81,                 1.1218,                  1.312,                 1.1043,                0.45222,                0.39734,                0.39625,                0.28459,                 1.2112,                 1.6098,                 1.1788,             0.00018151,             0.00018151,             0.00018151
                     82,                 1.1249,                 1.3222,                 1.0995,                0.46892,                0.38287,                0.39053,                0.27815,                 1.2088,                 1.6152,                 1.1746,             0.00017326,             0.00017326,             0.00017326
                     83,                  1.111,                 1.3004,                 1.0993,                0.43626,                0.42257,                0.40197,                0.28808,                 1.2235,                 1.6222,                 1.1799,             0.00016502,             0.00016502,             0.00016502
                     84,                 1.1087,                 1.2998,                 1.0911,                0.46335,                0.40972,                0.40029,                0.28704,                 1.2111,                 1.6119,                 1.1764,             0.00015677,             0.00015677,             0.00015677
                     85,                 1.1206,                 1.3051,                 1.0994,                0.42465,                0.40908,                0.39923,                0.28741,                 1.2039,                 1.6022,                 1.1769,             0.00014852,             0.00014852,             0.00014852
                     86,                 1.0958,                 1.2893,                 1.0889,                0.41593,                0.42931,                0.39878,                0.28823,                 1.1993,                  1.598,                 1.1733,             0.00014028,             0.00014028,             0.00014028
                     87,                 1.0958,                 1.2934,                 1.0944,                0.45005,                0.39252,                0.39993,                0.28899,                    1.2,                  1.608,                 1.1733,             0.00013203,             0.00013203,             0.00013203
                     88,                 1.0959,                 1.2791,                 1.0917,                0.47275,                0.38752,                0.39768,                0.28692,                 1.2156,                 1.6161,                  1.175,             0.00012378,             0.00012378,             0.00012378
                     89,                 1.1065,                 1.3074,                    1.1,                0.43751,                0.41225,                0.39865,                0.28786,                  1.205,                 1.6047,                 1.1697,             0.00011554,             0.00011554,             0.00011554
                     90,                 1.1023,                 1.2924,                 1.0925,                0.43259,                0.43565,                0.40499,                 0.2924,                 1.2005,                  1.603,                 1.1734,             0.00010729,             0.00010729,             0.00010729
                     91,                 1.0887,                 1.2707,                 1.0975,                0.42136,                0.42354,                0.38722,                0.27732,                 1.2111,                 1.6344,                 1.1764,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                 1.0748,                 1.2303,                 1.0872,                0.44951,                0.39995,                0.38853,                0.27961,                 1.2058,                 1.6239,                 1.1763,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                  1.068,                 1.2351,                  1.086,                0.44202,                0.39511,                0.38676,                 0.2792,                 1.2078,                 1.6166,                 1.1742,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                 1.0555,                 1.2233,                 1.0777,                0.45832,                0.38992,                0.38839,                0.28065,                 1.1994,                 1.6138,                 1.1708,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                 1.0515,                 1.1994,                 1.0778,                0.45912,                0.38434,                0.39299,                0.28461,                 1.2007,                 1.6159,                 1.1715,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                 1.0474,                 1.1872,                 1.0734,                0.45851,                0.40169,                0.39676,                0.28718,                 1.2033,                 1.6159,                 1.1721,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                 1.0502,                 1.2012,                  1.079,                0.43581,                0.41421,                 0.3943,                0.28464,                 1.2053,                 1.6236,                 1.1746,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                 1.0473,                 1.1981,                 1.0847,                0.41487,                 0.4159,                0.39299,                0.28393,                 1.2076,                 1.6246,                 1.1733,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                 1.0516,                 1.1978,                 1.0795,                0.44594,                0.40967,                 0.3948,                0.28576,                 1.2033,                 1.6113,                 1.1699,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                 1.0357,                 1.1869,                 1.0741,                0.42074,                0.42888,                0.39395,                0.28589,                 1.2002,                 1.6127,                 1.1686,             2.4823e-05,             2.4823e-05,             2.4823e-05
